IdPE	loc	UE	long	lat	agri	arbu	prai	hydro	foret	heter	ecot	fcoeur	lisi	pente	alt	prec	temp	bati
17	Grande-Terre	Plateaux_N	658300	1821100	0.6228	0	0	2.2498	0.1811	1.272	53.9128	0	127.0443	1.9588	9.1972	1346.1987	25.7885	0.0253
18	Grande-Terre	Plateaux_N	665700	1821100	0.3911	0	0.0437	4.754	0.4598	1.4739	57.7438	0	171.5988	3.9989	37.2481	1326.7253	25.6741	7.00E-04
19	Grande-Terre	Plateaux_Atl	666700	1821100	0.3521	0	0.0477	5.0001	0.4373	1.1069	58.1698	0	171.5833	1.6756	26.5517	1299.8643	25.7296	2.00E-04
20	Grande-Terre	Plateaux_Atl	667300	1821100	0.2868	0	0.0348	3.3568	0.4884	1.0207	52.466	0	153.2006	1.7078	32.6373	1295.5402	25.7432	0.0013
21	Grande-Terre	Plateaux_N	659300	1820900	0.5871	0	0.0397	2.5914	0.1218	1.3154	52.6865	0	108.1626	1.8273	12.2223	1347.3141	25.7654	0.0485
22	Grande-Terre	Plateaux_N	664300	1820900	0.2899	0	0	2.5475	0.5015	1.3634	48.7438	0	202.7407	3.1502	55.8889	1381.6134	25.542	0.0194
23	Grande-Terre	Plateaux_Atl	667300	1820900	0.3441	0	0.0321	3.4068	0.4427	1.1953	50.5833	0	148.7407	1.6944	33.4172	1305.3264	25.7123	0.003
24	Grande-Terre	Plateaux_N	662500	1820700	0.4603	0	0	3.4928	0.4197	1.1931	49.9167	0	149.7531	2.9791	28.9109	1349.9028	25.6926	0.0152
25	Grande-Terre	Plateaux_N	660700	1820500	0.7463	0	0.0674	6.9853	0.1434	1.0733	34.3426	0	96.1821	2.3792	13.3422	1341.1552	25.7901	0.0088
26	Grande-Terre	Plateaux_Atl	667700	1820500	0.4006	0	0.0024	1.5946	0.4362	1.1591	43.6636	0	138.3025	1.8762	39.2901	1320.642	25.6679	0.0069
27	Grande-Terre	Plateaux_N	659100	1820300	0.8557	0	0.0211	1.567	0.0847	0.9175	48.9938	0	61.2407	1.3363	11.5824	1360.5316	25.7531	0.0099
28	Grande-Terre	Plateaux_N	661100	1820300	0.6663	0	0.0513	6.16	0.2455	1.0177	29.8704	0	126.9722	2.7027	18.843	1347.3002	25.7617	0.0079
29	Grande-Terre	Plateaux_Atl	666500	1820300	0.6512	0	0.0076	5.3237	0.2857	0.9465	45.8889	0	111.7346	1.6883	24.1198	1317.6196	25.6741	2.00E-04
30	Grande-Terre	Plateaux_N	657900	1820100	0.7568	0	0.0082	1.4582	0.1586	1.0023	47.188	0	100.6467	1.8404	10.2688	1372.2046	25.7507	0.0013
31	Grande-Terre	Plateaux_N	658300	1819900	0.8654	0	0	1.4163	0.1135	0.8295	45.0054	0	80.7738	1.552	11.7568	1374.9152	25.7296	0.0026
32	Grande-Terre	Plateaux_N	659700	1819900	0.7543	0	0.0854	3.5421	0.148	0.9985	45.2593	0	79.6728	1.8445	10.4479	1362.2802	25.7605	0.0023
33	Grande-Terre	Plateaux_Atl	668300	1819900	0.4658	0	0.0514	0.7328	0.3642	1.3634	46.1019	0	111.2932	1.9639	42.2762	1328.7214	25.6469	0.0069
34	Grande-Terre	Plateaux_N	661100	1819700	0.4969	0	0.0717	6.5932	0.4101	1.0263	40.3302	0	154.8364	3.1303	24.7054	1378.2122	25.6889	7.00E-04
35	Grande-Terre	Plateaux_N	660700	1819500	0.4887	0	0.0741	6.1801	0.4174	1.1719	44.8951	0	151.25	3.1727	20.9416	1382.7755	25.6963	0.0013
36	Grande-Terre	Plateaux_N	662100	1819300	0.3915	0	0	4.0104	0.4277	1.0817	59.071	0	188.034	3.0577	47.63	1419.3187	25.5481	0.0226
